733353.522106,107242261632060.593750,3566420414125.788574
733418.455163,85522013384321.156250,8698628235626.460938
733526.760829,23820974008832.367188,237667066805.414612
733533.245720,205372684064494.750000,4721030235676.821289
733610.047209,20094125578607.273438,374797169314.750061
733611.198836,6756939.027416,585438.760495
733611.638339,16089422510360.683594,474941136072.800659
733612.449981,17568041.471283,352064.959099
733612.851267,35887144963051.445312,595752621199.300293
733613.591207,12067095154840.228516,205368233855.056732
733725.048064,23493601864802.347656,261854679541.588684
733795.878492,29136842176869.441406,2106024029392.925293
733861.849424,94377628432830.187500,7872456127134.903320
733972.462524,106062821125064.734375,2329344539639.539551
734051.030400,340677110530340.750000,4674280046480.312500
734052.148252,57051679639230.914062,847386073033.813232
734052.789725,37538907135688.625000,1019617212070.089111
734052.876649,79955765124302.375000,5147919221218.212891
734053.106799,305084164451240.812500,1552564830100.060791
734312.768150,95750215009957.187500,2802718757620.224121
734314.620574,173429639412616.031250,1562241527017.120117
734321.648442,31985018168009.507812,489267052731.800598
734361.043424,52823204987058.796875,5666712526468.197266
734435.878910,6528880733431.685547,217581006075.396912
734438.064610,228447246697704.468750,15800385869115.150391
734445.537299,26923409357986.503906,615017345547.457520
734457.881367,7070013603062.418945,452674007996.702087
734468.485435,219945305883905.218750,1988685537936.966797
734475.487329,87660300074828.375000,782855994959.304688
734480.395499,252123969506704.656250,2488638529049.056641
734526.084778,12671967280459.730469,165401591741.695068
734546.088351,115774448082445.359375,19507067829559.246094
734550.795226,13887702871815.742188,259155342116.882782
734557.832924,39042584489058.078125,237707012739.525391
734590.795804,427435455977348.437500,1627612497092.454834
734592.987682,89990281151322.781250,2190166256357.182861
734628.160896,33890737658680.667969,1246517656191.581787
734693.656611,252466899766460.375000,3792597574752.847168
734693.853955,56660053044780.937500,1241546704504.302979
734730.888382,31281130414303.628906,859096361034.429565
734798.720846,47616048826600.851562,3904021498014.323242
734825.015269,41707507113633.914062,559306787334.974365
734838.138583,11853986531392.373047,1442090801264.007812
734843.732043,279272015435783.312500,5582834989844.259766
734851.865771,61224705321881.750000,3658846921648.642090
734885.668277,22013832572570.281250,1222085455897.025635
734928.567356,12416429515843.949219,1395888655051.748047
734950.836167,428405023719865.187500,7035335407387.665039
734951.298784,2564834101312075.000000,14991285795281.390625
735088.950568,42534767506015.687500,507090695096.130493
735089.790862,5371500933860.918945,269924668907.724426
735094.488626,20255592717584.375000,6040435203750.786133
735099.934557,15110172785752.851562,138850486706.063934
735100.267497,4729857.319192,1997124.862730
735100.965637,10811102.443866,440520.302742
735101.600074,4266689427105.747070,525994181316.971252
735101.905846,1071672081184.094482,33447942606.045208
735111.062498,4614945862041.093750,1026684278065.823364
735112.789264,12903992568382.066406,2198919486791.542480
735178.492119,44634292834780.851562,1184404744892.933350
735203.882047,74129661349907.140625,2273334876178.531250
735227.481635,35965785695097.726562,1133018554915.128906
735269.091779,17217058515738.912109,145150769398.410339
735269.541539,153134740046954.968750,3899369526933.337402
735270.072153,9576579819157.792969,156843125092.661346
735270.413400,4276668074265.687988,95860761046.273849
735449.164281,187640125897041.562500,22494320684835.937500
735496.152125,5938868720930.310547,526806806051.921021
735499.509175,16325693689983.542969,403452209498.522034
735534.464836,15056651377691.265625,1162675788713.941406
735627.345905,151987735460225.406250,5585046639106.400391
735666.489037,217990258444312.062500,4181799884724.712402
735666.744141,1697270599487455.250000,96244434188245.640625
735667.257523,25973651937507.503906,466020487679.624939
735767.691973,111304040729156.890625,927391985844.837524
735797.084387,53721120879324.093750,1595834862313.621582
